Model,Precision Score,Recall Score,Accuracy Score,F1 Score,Confusion Matrix,Model Path
,0.9322132747235385,0.9350755410371581,0.9350755410371581,0.9334516799310396,"[[2161   68    0]
 [  91  129    0]
 [   0    0    0]]",./model/3_layers_torso.h5
,0.9297627297160608,0.9354838709677419,0.9354838709677419,0.9315325585459502,"[[2176   53    0]
 [ 105  115    0]
 [   0    0    0]]",./model/7_layers_with_dropout_torso.h5
,0.9179763183594178,0.9281339322172315,0.9281339322172315,0.9193609525697217,"[[2187   42    0]
 [ 134   86    0]
 [   0    0    0]]",./model/5_layers_torso.h5
,0.9155938415084609,0.926092282564312,0.926092282564312,0.9176920419176887,"[[2182   47    0]
 [ 134   86    0]
 [   0    0    0]]",./model/7_layers_torso.h5
LR,0.0,0.0,0.0,0.0,"[[0 0]
 [0 0]]",
SVC,0.0,0.0,0.0,0.0,"[[0 0]
 [0 0]]",
KNN,0.0,0.0,0.0,0.0,"[[0 0]
 [0 0]]",
DTC,0.0,0.0,0.0,0.0,"[[0 0]
 [0 0]]",
SGDC,0.0,0.0,0.0,0.0,"[[0 0]
 [0 0]]",
NB,0.0,0.0,0.0,0.0,"[[0 0]
 [0 0]]",
RF,0.0,0.0,0.0,0.0,"[[0 0]
 [0 0]]",
