Model,Precision Score,Recall Score,Accuracy Score,F1 Score,Confusion Matrix,Model Path
,0.8048982569647887,0.766109785202864,0.766109785202864,0.770925332106683,"[[130  20   0]
 [ 78 191   0]
 [  0   0   0]]",./model/7_layers.h5
,0.7564628865031937,0.747016706443914,0.747016706443914,0.7500385870015941,"[[107  43   0]
 [ 63 206   0]
 [  0   0   0]]",./model/7_layers_with_dropout.h5
,0.7839232167991118,0.7279236276849642,0.7279236276849642,0.7331445289377826,"[[130  20   0]
 [ 94 175   0]
 [  0   0   0]]",./model/5_layers.h5
,0.6919335358356838,0.6945107398568019,0.6945107398568019,0.6930781859283093,"[[ 83  67   0]
 [ 61 208   0]
 [  0   0   0]]",./model/3_layers.h5
SVC,0.6869101036670278,0.6796282527881041,0.7136038186157518,0.6825757575757576,"[[ 84  66]
 [ 54 215]]",
KNN,0.6789539574349701,0.6913011152416357,0.6945107398568019,0.6807467022239154,"[[102  48]
 [ 80 189]]",
RF,0.6020135009310987,0.6086121437422553,0.6205250596658711,0.6021700575059268,"[[ 85  65]
 [ 94 175]]",
LR,0.6081856839121191,0.6134944237918216,0.5775656324582339,0.5766009556921918,"[[111  39]
 [138 131]]",
DTC,0.5383914877300613,0.5397026022304833,0.568019093078759,0.5384816674273544,"[[ 66  84]
 [ 97 172]]",
SGDC,0.5891643594261263,0.5877942998760843,0.5369928400954654,0.536926898186127,"[[115  35]
 [159 110]]",
NB,0.4042069992553983,0.43623296158612146,0.5298329355608592,0.4081284373409053,"[[ 16 134]
 [ 63 206]]",
