label,nose_x,nose_y,nose_z,nose_v,left_shoulder_x,left_shoulder_y,left_shoulder_z,left_shoulder_v,right_shoulder_x,right_shoulder_y,right_shoulder_z,right_shoulder_v,right_elbow_x,right_elbow_y,right_elbow_z,right_elbow_v,left_elbow_x,left_elbow_y,left_elbow_z,left_elbow_v,right_wrist_x,right_wrist_y,right_wrist_z,right_wrist_v,left_wrist_x,left_wrist_y,left_wrist_z,left_wrist_v,left_hip_x,left_hip_y,left_hip_z,left_hip_v,right_hip_x,right_hip_y,right_hip_z,right_hip_v
C,0.591202855,0.256918699,-0.172779113,0.999846399,0.58925432,0.354712725,0.293769956,0.998750985,0.416650027,0.331286162,-0.182869926,0.999737978,0.431418031,0.436084151,-0.452335924,0.984596729,0.642071903,0.450219393,0.233662352,0.459264666,0.517737806,0.331557006,-0.62030977,0.986953139,0.711766124,0.387773603,-0.025996473,0.785596132,0.572357595,0.556777179,0.159287646,0.995391846,0.481546164,0.553014994,-0.159460634,0.99806565
C,0.556767225,0.292575836,-0.116905399,0.999732614,0.53981775,0.37687552,0.314376503,0.997440815,0.380990535,0.357844025,-0.262091428,0.999794364,0.444871843,0.453783721,-0.267811835,0.972381353,0.552652895,0.479728192,0.161062345,0.268267989,0.496627629,0.346908689,-0.009432632,0.967436433,0.596811175,0.408023328,-0.262319326,0.578361034,0.528271437,0.563985169,0.181248665,0.995408773,0.451040119,0.559940636,-0.181578994,0.997978806
C,0.598796189,0.249205112,-0.200416386,0.999870241,0.597315669,0.349157721,0.317486018,0.998824537,0.437659204,0.326271713,-0.224256903,0.999892533,0.420989543,0.430609226,-0.554277539,0.988645494,0.634792745,0.448625445,0.2585527,0.416405678,0.559849143,0.350232363,-0.793977499,0.983118355,0.732188046,0.416208774,-0.099589676,0.710904658,0.591084719,0.552462399,0.176597178,0.996134996,0.491052121,0.54813081,-0.176741794,0.998364687
C,0.602623999,0.253367931,-0.271678001,0.999883652,0.598047912,0.352722049,0.212489769,0.998750925,0.431443572,0.333653003,-0.297580987,0.999747574,0.443789124,0.43915996,-0.579029799,0.978976607,0.647022367,0.448904067,0.140716821,0.464033365,0.511306882,0.318733782,-0.779355645,0.983085334,0.713590324,0.373112231,-0.163346857,0.810401917,0.594675004,0.56281811,0.153388113,0.995262265,0.492438257,0.558586657,-0.153522238,0.998249173
C,0.542739332,0.279625982,-0.106235154,0.999872267,0.515328884,0.369731635,0.365694821,0.998618305,0.389744371,0.353711814,-0.221923932,0.999908924,0.438818008,0.454681516,-0.39392975,0.988460422,0.555909395,0.473858982,0.221325845,0.352110237,0.571219981,0.362130374,-0.407535493,0.980448484,0.637637675,0.41857782,-0.189235553,0.65753001,0.525011718,0.564264596,0.192792967,0.996145785,0.448772818,0.560692191,-0.193047464,0.998634458
C,0.575732887,0.285251826,-0.101426311,0.99978286,0.545966029,0.370296597,0.317380071,0.997481704,0.392088175,0.351899743,-0.286697119,0.9998402,0.451532692,0.438923627,-0.31400758,0.9799546,0.553975224,0.468911797,0.149602011,0.286502093,0.521498203,0.33158794,-0.055140141,0.970436156,0.605937064,0.383352995,-0.291813225,0.584502637,0.530870855,0.563758671,0.194794074,0.995273232,0.451465398,0.558180094,-0.194966137,0.998186171
C,0.592796683,0.285298735,-0.075520389,0.999599695,0.549189508,0.364213347,0.313978761,0.996020138,0.402605653,0.351639956,-0.294364333,0.999781847,0.450901359,0.437957764,-0.282628566,0.977739215,0.55289495,0.460601181,0.286071718,0.224977195,0.504264176,0.335826606,-0.024364591,0.966907322,0.610096037,0.404657841,-0.007037154,0.463283926,0.536473334,0.563719571,0.19046174,0.993624091,0.458019763,0.558580279,-0.190462023,0.997710288
C,0.584048986,0.248402655,-0.223787948,0.999800861,0.598658442,0.345105052,0.297083646,0.998562634,0.420424283,0.326959044,-0.223698348,0.99986726,0.425211936,0.429133773,-0.569166064,0.989890873,0.635813236,0.446609348,0.217506275,0.427718818,0.557129622,0.342067629,-0.806714118,0.982685506,0.748502672,0.398288697,-0.162398994,0.696822226,0.592688024,0.550934851,0.169611648,0.995521486,0.486612737,0.548216879,-0.169748753,0.998136342
C,0.588550985,0.252102405,-0.225971565,0.999829829,0.592936754,0.34714663,0.232585832,0.998650908,0.420683175,0.327072769,-0.255251259,0.999814034,0.454773903,0.4238123,-0.577617645,0.98735255,0.65025723,0.439831972,0.165122315,0.450018376,0.531400204,0.302382886,-0.786997378,0.984393954,0.735118926,0.363832682,-0.070331343,0.751447678,0.5955441,0.559565485,0.151962936,0.9953354,0.491766781,0.556849837,-0.152079359,0.998135448
C,0.587987065,0.258791894,-0.228567824,0.999816954,0.589863658,0.349078059,0.229612455,0.99844116,0.428245902,0.332902879,-0.26799354,0.999658942,0.457121462,0.423509091,-0.585940063,0.978473961,0.648315132,0.438733429,0.154492199,0.472324312,0.49390012,0.298395604,-0.829571247,0.98337847,0.704157352,0.36314261,-0.140568703,0.790289402,0.593987226,0.563105881,0.158145338,0.995144188,0.49204579,0.558462143,-0.15831311,0.998042941
