Model,Precision Score,Recall Score,Accuracy Score,F1 Score,Confusion Matrix,Model Path
KNN,0.6558488451697374,0.6764356435643565,0.6764356435643565,0.6419516190469317,"[[ 258  630    0]
 [ 187 1450    0]
 [   0    0    0]]",
,0.629988437326908,0.6316831683168317,0.6316831683168317,0.6308045287876567,"[[ 414  474    0]
 [ 456 1181    0]
 [   0    0    0]]",./model/5_layers.h5
RF,0.6476437375462873,0.6704950495049505,0.6704950495049505,0.6257485477544319,"[[ 215  673    0]
 [ 159 1478    0]
 [   0    0    0]]",
,0.6081499381215129,0.6308910891089109,0.6308910891089109,0.6128171299061178,"[[ 292  596    0]
 [ 336 1301    0]
 [   0    0    0]]",./model/7_layers_with_dropout.h5
DTC,0.6053933062213189,0.6205940594059406,0.6205940594059406,0.6104973273184089,"[[ 328  560    0]
 [ 398 1239    0]
 [   0    0    0]]",
,0.602009560741597,0.622970297029703,0.622970297029703,0.6074779263882586,"[[ 298  590    0]
 [ 362 1275    0]
 [   0    0    0]]",./model/3_layers.h5
LR,0.666992429160415,0.6744554455445545,0.6744554455445545,0.6043063778459065,"[[ 144  744    0]
 [  78 1559    0]
 [   0    0    0]]",
,0.5898840854991024,0.6134653465346535,0.6134653465346535,0.5960884222167803,"[[ 278  610    0]
 [ 366 1271    0]
 [   0    0    0]]",./model/7_layers.h5
SVC,0.647515690412367,0.6661386138613862,0.6661386138613862,0.593991776438362,"[[ 133  755    0]
 [  88 1549    0]
 [   0    0    0]]",
NB,0.5763085743489259,0.638019801980198,0.638019801980198,0.552634962491255,"[[  82  806    0]
 [ 108 1529    0]
 [   0    0    0]]",
SGDC,0.7107137609486078,0.6538613861386139,0.6538613861386139,0.5253626857191213,"[[  18  870    0]
 [   4 1633    0]
 [   0    0    0]]",
