label,nose_x,nose_y,nose_z,nose_v,left_shoulder_x,left_shoulder_y,left_shoulder_z,left_shoulder_v,right_shoulder_x,right_shoulder_y,right_shoulder_z,right_shoulder_v,left_hip_x,left_hip_y,left_hip_z,left_hip_v,right_hip_x,right_hip_y,right_hip_z,right_hip_v,left_knee_x,left_knee_y,left_knee_z,left_knee_v,right_knee_x,right_knee_y,right_knee_z,right_knee_v,left_ankle_x,left_ankle_y,left_ankle_z,left_ankle_v,right_ankle_x,right_ankle_y,right_ankle_z,right_ankle_v
no_error,0.629078031,0.422766,0.307964593,0.999932051,0.598821342,0.47931698,-0.063235164,0.999915779,0.738915741,0.466443837,0.185196131,0.999734759,0.70251137,0.655337512,-0.104664139,0.999971986,0.78760618,0.648278415,0.103580408,0.999942958,0.569707274,0.633056283,0.15193671,0.980395257,0.724146843,0.672865689,0.506691158,0.770285547,0.613234758,0.773946822,0.09688583,0.979522467,0.755384862,0.781284153,0.423708647,0.915536284
no_error,0.628084123,0.430490792,0.421118468,0.999827564,0.598160028,0.485266954,0.033414621,0.999859989,0.736777723,0.471409321,0.279460311,0.999592364,0.70911032,0.651648879,-0.112061583,0.999956667,0.790545762,0.641200185,0.110945806,0.999914348,0.579180062,0.633256495,0.09702044,0.937568009,0.713326454,0.654822648,0.451025337,0.597042501,0.614652514,0.775574267,-0.094777785,0.965378821,0.757460833,0.780986726,0.240436867,0.868885159
no_error,0.619574606,0.397918969,0.552467108,0.999549448,0.593558609,0.447347045,0.139532611,0.999784708,0.729681969,0.439476639,0.393057078,0.999227583,0.70349735,0.606648743,-0.12051589,0.999941349,0.790790796,0.597559154,0.119520158,0.99987942,0.579463899,0.627536654,0.004184371,0.942593217,0.70995307,0.650098503,0.354863107,0.571394742,0.613865674,0.776138365,-0.209978297,0.970894635,0.756316423,0.777684689,0.157134145,0.872927487
no_error,0.60946995,0.351626933,0.477802545,0.999587417,0.595604658,0.403092831,0.083944909,0.999675512,0.723241329,0.392656833,0.357853591,0.998985648,0.720284224,0.563050151,-0.117352881,0.999891996,0.800879121,0.556082726,0.116669811,0.999798417,0.58293879,0.613994777,-0.077683836,0.964366615,0.728704512,0.640342474,0.353144318,0.688680947,0.618192017,0.770466387,-0.212105557,0.975224435,0.757010639,0.774602652,0.304587334,0.892372906
no_error,0.616418302,0.319818556,0.464500159,0.999381959,0.600084841,0.371522486,0.065431684,0.999614656,0.723476827,0.360791773,0.331804395,0.998543501,0.719607294,0.545536637,-0.117376022,0.999856412,0.797627866,0.535927653,0.116727486,0.999720812,0.581521451,0.610310495,-0.089116663,0.968923926,0.73453325,0.626895547,0.321447253,0.716554284,0.61790055,0.770463884,-0.228870571,0.96863997,0.756672442,0.774186969,0.249026224,0.872503042
no_error,0.599949777,0.245822847,0.552761137,0.999445915,0.598893762,0.27866748,0.190568686,0.999622822,0.725066781,0.271597803,0.321306914,0.999053717,0.683312356,0.451205432,-0.045259058,0.999546051,0.758353651,0.447463721,0.044724688,0.99947077,0.618243694,0.598932624,-0.055438466,0.96963799,0.738319993,0.612108767,-0.053853832,0.8741377,0.618800223,0.771719337,-0.122562081,0.938861489,0.756381333,0.785648584,-0.247471362,0.900118411
no_error,0.534018159,0.393973798,0.487616181,0.958181441,0.408336878,0.418954819,0.340556473,0.99750793,0.541947544,0.41444546,0.126560345,0.999658644,0.36929056,0.547828853,0.117141977,0.999854565,0.451305121,0.547040105,-0.118513905,0.999884009,0.423108876,0.588973999,0.392456084,0.824051082,0.599136591,0.572675765,0.139734834,0.966764212,0.395379573,0.707199216,0.134121686,0.931199014,0.551805437,0.714998543,-0.073998868,0.981200039
no_error,0.556388199,0.411131799,0.415361971,0.973725259,0.428463221,0.438080519,0.26011765,0.998274207,0.550316095,0.453886569,0.099918157,0.999744236,0.36921528,0.581376672,0.105668195,0.999908984,0.451617867,0.590743482,-0.106750377,0.999928713,0.440783352,0.616087198,0.450954318,0.643636227,0.60434711,0.572430074,0.120512553,0.942549467,0.399229825,0.702016771,0.248485118,0.888835549,0.551337063,0.713948071,-0.069186628,0.978058696
no_error,0.554876506,0.424391299,0.434896827,0.980588794,0.430175573,0.449183136,0.261580974,0.998707175,0.55720067,0.463655561,0.108687207,0.999799967,0.368165314,0.592838347,0.104586564,0.999932051,0.453457564,0.605187833,-0.105727099,0.999947071,0.428155482,0.619421482,0.463540077,0.576666951,0.605890036,0.572985649,0.165880889,0.930626988,0.405077815,0.699359119,0.308680147,0.860849559,0.549231529,0.713839531,0.045599446,0.973529518
no_error,0.554568887,0.426127374,0.417279154,0.988745451,0.438738436,0.452050894,0.243056715,0.999217868,0.558239102,0.469516128,0.052790519,0.999860227,0.370867372,0.594376862,0.116124183,0.999955595,0.449184954,0.609727323,-0.117090568,0.999967456,0.450249076,0.609995186,0.456344754,0.413809717,0.603518546,0.575386047,0.132479578,0.897680402,0.428341508,0.691385567,0.340055287,0.766118705,0.548671782,0.714313447,0.045969177,0.95375669
