Model,Precision Score,Recall Score,Accuracy Score,F1 Score,Confusion Matrix,Model Path
SVC,0.8220901818887899,0.8444378346222486,0.8444378346222486,0.8310150214083696,"[[2719  186    0]
 [ 337  120    0]
 [   0    0    0]]",
LR,0.8293000163129474,0.8319452706722189,0.8319452706722189,0.8305979247181154,"[[2631  274    0]
 [ 291  166    0]
 [   0    0    0]]",
SGDC,0.8186749341319465,0.8560380725758477,0.8560380725758477,0.8281633078082233,"[[2801  104    0]
 [ 380   77    0]
 [   0    0    0]]",
RF,0.8151632197870877,0.8515764425936942,0.8515764425936942,0.8262683791698134,"[[2782  123    0]
 [ 376   81    0]
 [   0    0    0]]",
,0.7993322607206796,0.7929803688280785,0.7929803688280785,0.7960834432492367,"[[2540  365    0]
 [ 331  126    0]
 [   0    0    0]]",./model/7_layers_with_dropout.h5
,0.809437041510581,0.7816775728732898,0.7816775728732898,0.7941738766789461,"[[2463  442    0]
 [ 292  165    0]
 [   0    0    0]]",./model/3_layers.h5
,0.795887746839402,0.7760261748958953,0.7760261748958953,0.7853468745432466,"[[2477  428    0]
 [ 325  132    0]
 [   0    0    0]]",./model/5_layers.h5
,0.7982343484863073,0.773051754907793,0.773051754907793,0.7846591829269287,"[[2458  447    0]
 [ 316  141    0]
 [   0    0    0]]",./model/7_layers.h5
KNN,0.7980296541000996,0.7626412849494348,0.7626412849494348,0.7785110988088775,"[[2415  490    0]
 [ 308  149    0]
 [   0    0    0]]",
DTC,0.7931526379045922,0.74360499702558,0.74360499702558,0.7652494595455386,"[[2350  555    0]
 [ 307  150    0]
 [   0    0    0]]",
NB,0.8044323098859167,0.6930398572278406,0.6930398572278406,0.7345847776331278,"[[2115  790    0]
 [ 242  215    0]
 [   0    0    0]]",
