Model,Precision Score,Recall Score,Accuracy Score,F1 Score,Confusion Matrix,Model Path
,0.8671037597584124,0.861878453038674,0.861878453038674,0.8623614465363388,"[[253  51   0]
 [ 24 215   0]
 [  0   0   0]]",./model/3_layers.h5
,0.8547505099839442,0.85451197053407,0.85451197053407,0.8546049612850216,"[[263  41   0]
 [ 38 201   0]
 [  0   0   0]]",./model/7_layers_with_dropout.h5
,0.8488261815709558,0.8471454880294659,0.8471454880294659,0.8474991810589276,"[[256  48   0]
 [ 35 204   0]
 [  0   0   0]]",./model/7_layers.h5
SVC,0.8451556728454832,0.8434622467771639,0.8434622467771639,0.8438244625302271,"[[255  49   0]
 [ 36 203   0]
 [  0   0   0]]",
SGDC,0.8396056005683169,0.8397790055248618,0.8397790055248618,0.8396663857199762,"[[262  42   0]
 [ 45 194   0]
 [  0   0   0]]",
LR,0.8361736380820403,0.8360957642725598,0.8360957642725598,0.8361318425626774,"[[259  45   0]
 [ 44 195   0]
 [  0   0   0]]",
,0.8211623236121833,0.8213627992633518,0.8213627992633518,0.8212372346533069,"[[257  47   0]
 [ 50 189   0]
 [  0   0   0]]",./model/5_layers.h5
RF,0.8006247567227501,0.8011049723756906,0.8011049723756906,0.8005892085707565,"[[255  49   0]
 [ 59 180   0]
 [  0   0   0]]",
KNN,0.7902586866918555,0.7900552486187845,0.7900552486187845,0.7901461900333681,"[[246  58   0]
 [ 56 183   0]
 [  0   0   0]]",
DTC,0.7714493494905947,0.7716390423572744,0.7716390423572744,0.7715336546719042,"[[243  61   0]
 [ 63 176   0]
 [  0   0   0]]",
NB,0.7163656398583135,0.6777163904235728,0.6777163904235728,0.6743117505048278,"[[168 136   0]
 [ 39 200   0]
 [  0   0   0]]",
